"","CLDN18","cMET","HER2","EGFR","TROP2"
"TCGA-2H-A9GI-01A-11R-A37I-31",2.57075990464809,5.33171544048383,8.88001984977309,3.49316330121353,7.94077354197307
"TCGA-L5-A4OU-01A-11R-A28J-31",7.64974353402939,5.41368284195035,8.98628315449851,5.70059821365574,8.8532488329166
"TCGA-JY-A93E-01A-11R-A37I-31",9.76946513401483,8.89920471006828,7.28522437125184,5.67616371372948,8.63965702466189
"TCGA-L7-A56G-01A-21R-A260-31",-1.751699803895,5.49841960356957,6.61170465631062,7.33966224154359,10.5348795967447
"TCGA-L5-A8NL-01A-12R-A37I-31",12.0213424785769,6.61600498292077,8.76794460785058,5.07175038160773,7.36208308469715
"TCGA-VR-A8ET-01A-11R-A406-31",-2.32192809488736,5.04981465203744,6.06613225872699,7.33487667170028,9.63149433126403
"TCGA-L5-A4OO-01A-11R-A260-31",4.98655426576527,6.28981597785066,7.16395178721193,4.99404383672839,8.59018911389373
"TCGA-LN-A49X-01A-31R-A260-31",2.46121035314034,6.86496858920534,5.74936121730802,8.70636895280989,8.46149254378268
"TCGA-IG-A5B8-01A-11R-A28J-31",-0.630487096953326,4.96459787183653,3.51264755222972,6.43982874876599,10.716898882297
"TCGA-L5-A893-01A-11R-A36D-31",9.67494123298759,6.15835702541012,6.74776813793988,5.72094408638626,9.48497761481501
"TCGA-L5-A4OE-01A-11R-A260-31",12.0238510790391,9.08198284101021,5.50271322429481,6.75219735900174,10.2336035060581
"TCGA-LN-A4A9-01A-11R-A28J-31",2.17157116550838,7.30253789519652,5.15215845674113,7.19171156628655,12.2899519336174
"TCGA-L5-A8NM-01A-11R-A37I-31",5.12769646791653,7.38274143917633,7.21288583699736,5.5722623793964,8.33450644166634
"TCGA-Q9-A6FW-01A-31R-A31P-31",6.17739381272035,8.00845756398155,7.00887595593645,6.0831397708098,10.6632885290407
"TCGA-Z6-A8JD-01A-11R-A36D-31",-1.53980846682988,7.03056339790429,4.71288828266809,7.9654580680974,8.87750565668343
"TCGA-L5-A8NE-01A-11R-A37I-31",9.25198530423758,5.06224227371289,6.90788020377291,5.2819095288273,8.36404461457633
"TCGA-L5-A4OM-01A-11R-A260-31",3.00695969940313,5.87493086875896,6.11150253109381,8.22906478035441,10.626712771558
"TCGA-IG-A4QS-01A-11R-A260-31",9.30041719619613,5.99421483157297,5.81936478905484,4.50879376697535,8.49233082149006
"TCGA-LN-A8I0-01A-11R-A36D-31",4.38581741851143,5.30961466505289,4.72601731007049,5.78996760229326,10.2420291678397
"TCGA-L5-A43E-01A-11R-A24K-31",9.91876787312365,7.73071652686793,7.01396525757441,5.51510932320195,8.52992986748581
"TCGA-M9-A5M8-01A-11R-A28J-31",6.47243980285593,7.28851240326291,12.2314753277312,5.50157025055391,8.67571082063197
"TCGA-L5-A8NN-01A-11R-A37I-31",7.88526726893832,6.07727505464797,6.3730182219284,5.42547699906795,5.85914051406659
"TCGA-2H-A9GM-01A-11R-A37I-31",9.42700350170294,5.37446723548331,6.24766381527474,4.851064090944,7.81503918996761
"TCGA-L5-A4OS-01A-11R-A28J-31",2.02891206111254,5.8222745894931,7.3115032426932,5.28902066497077,6.79563123859294
"TCGA-IG-A97H-01A-11R-A38D-31",3.69744774731392,7.19655938865405,4.79461105912284,7.59554504122737,9.97492264424211
"TCGA-IG-A3YB-01A-11R-A36D-31",0.136114155841745,7.5486589667233,6.55336123524911,7.08493828149292,10.4167006749044
"TCGA-R6-A6DQ-01B-11R-A31P-31",9.91848466403722,7.51570244182675,5.92705162720447,5.43978048612728,7.78263814148878
