"","TROP2","CLDN18","HER2","cMET","EGFR"
"TCGA-3E-AAAZ-01A-11R-A38C-07",8.3633314444816,10.6583036166663,6.84041290803883,6.51791523960464,4.20223295284577
"TCGA-XD-AAUH-01A-42R-A41B-07",7.4969391793268,8.13368558579149,5.23974134093901,5.25190441204418,4.50781345591721
"TCGA-IB-8126-01A-11R-2404-07",5.56957665358336,6.28516163525986,4.17045583421677,3.73819305814101,3.03939879389674
"TCGA-H8-A6C1-01A-11R-A32O-07",9.35061368100556,10.6133928082344,6.67667114549799,5.90456103993527,4.40323168672402
"TCGA-S4-A8RM-01A-11R-A37L-07",8.65951934438151,12.0768226652163,7.12717942335758,6.47037497432804,5.39862794783567
"TCGA-FB-AAQ2-01A-31R-A41B-07",9.87940816415196,-1.63900779377629,6.59879418124643,7.53191442896414,5.55260462961119
"TCGA-IB-AAUW-01A-12R-A38C-07",8.55449875586315,7.84169762660504,6.67634046082813,5.97262786069517,5.05242736284493
"TCGA-HZ-8005-01A-11R-2204-07",8.62586600978613,-0.974783026518463,6.778267496645,8.2002619376681,6.00626768672392
"TCGA-XD-AAUG-01A-61R-A41B-07",7.38281701075941,7.23955325936897,5.2493955466249,3.97552828653863,4.5811485484757
"TCGA-LB-A9Q5-01A-11R-A39D-07",7.4364537636152,7.68213843739569,5.05080075419474,5.26747129461797,3.02214817618306
"TCGA-IB-AAUS-01A-12R-A38C-07",8.51800755603981,6.20469992673115,5.23953762951877,4.81853933855956,3.56744991182627
"TCGA-3A-A9IN-01A-11R-A39D-07",1.76037343394798,-2.32192809488736,3.63922711747236,3.86010152687888,2.85596355833037
"TCGA-FB-AAPP-01A-12R-A41B-07",5.07305483163976,8.65048855714316,6.02574751976502,6.76068838057958,4.35058841338156
"TCGA-HZ-8001-01A-11R-2204-07",8.45913884193267,0.322280904370791,5.36174682065798,5.62580264740541,3.66969527015633
"TCGA-HZ-A4BH-01A-11R-A26U-07",10.1389475369869,8.91805840347617,8.31041697788483,5.98834129000733,4.26982820513797
"TCGA-IB-8127-01A-11R-2404-07",9.34756681757512,7.26359717881906,6.54494281207909,7.76474235569613,5.6164654860743
"TCGA-2J-AABT-01A-11R-A41B-07",7.37506857914006,8.29583460608411,6.39776425110131,5.98522131079522,4.78938124246826
"TCGA-XD-AAUI-01A-42R-A41B-07",9.12108742883568,8.91336580290521,6.69157766592278,6.49375492321824,4.31844267463241
"TCGA-HZ-7922-01A-11R-2156-07",8.4606127738925,5.23979926627612,6.78653561408522,6.8224393279088,4.86252345891484
"TCGA-3A-A9IZ-01A-12R-A41B-07",10.0083841899111,5.34873896229752,6.5923197931302,7.13979335635259,4.190127050872
"TCGA-IB-A5SS-01A-11R-A32O-07",9.96872367364098,4.75792927212981,7.02955723739506,7.5272166549365,4.65303431397191
"TCGA-HV-A5A5-01A-11R-A26U-07",8.62066234507218,8.16671144425899,6.16341345780292,5.84883217540154,4.54792196459696
"TCGA-2J-AAB4-01A-12R-A41B-07",10.0468277557289,9.51833925001179,6.63095490883251,6.00655022840616,4.69425364625103
"TCGA-US-A776-01A-13R-A33R-07",9.68992060758641,8.61850934657286,5.54034225733759,5.20772992421841,3.20189434964341
