"","CLDN18","cMET","HER2","EGFR","TROP2"
"TCGA-BR-8369",9.7960192106919,5.44165124498444,6.67639012922474,5.2722144074978,7.77075333157179
"TCGA-CD-8529",8.36246221286484,4.76252764137831,6.41693244068467,3.57437773434641,6.8548408908867
"TCGA-VQ-A923",11.4881436559399,6.91735295306685,7.10069804823465,3.71694859810501,8.25021735853779
"TCGA-B7-A5TN",8.8412546631532,6.02002555400436,6.41106987990815,4.24978839955902,7.76411790418551
"TCGA-VQ-A94R",9.54076022851074,6.56473705907517,7.36685946144074,6.53954661666789,7.65324576231966
"TCGA-BR-A4J7",6.68252458080514,4.60802281043665,5.83044251160546,4.58780699540285,7.04931764362899
"TCGA-B7-5818",7.81776974079513,6.30879882548557,6.72059521307155,4.06128185297053,4.12288851794664
"TCGA-VQ-A91U",7.44925093333946,6.5201573509277,6.3803488233973,5.06150420180555,3.61249497911156
"TCGA-IN-A6RL",11.7212976608978,6.30988382801427,6.71071095618831,4.75192318846496,9.20988302249488
"TCGA-BR-6565",7.39419228319672,6.14997377065112,8.25501574049798,4.51772674817629,8.14668477105579
"TCGA-VQ-A8PH",5.65845503080253,5.23426876927881,7.10208675792031,3.98753091599255,3.19861228048282
"TCGA-HU-A4H0",9.5238762875717,7.09674667665604,7.62476745395426,3.0011936975104,7.74254223516311
"TCGA-BR-4191",11.5385764242319,6.29743911106829,5.38060088178783,3.9854665057008,9.29874726671222
"TCGA-BR-4294",4.39163345382956,6.49676156541267,1.36415167684267,4.56192525068277,0.680226315744544
"TCGA-D7-6525",4.95590653048568,9.07912969451265,7.13363681182193,6.14347287640108,10.6830007649054
"TCGA-CD-5803",11.3823162686749,5.64704930180268,6.44166838667988,4.87671579006851,9.16143631379426
"TCGA-BR-8291",10.7569710103405,5.87672286701953,6.15968732189713,5.61809012822157,7.89298096842014
"TCGA-HU-8238",9.7419647801914,6.2065666641003,6.71467210192893,4.89009968954495,9.20486890340222
"TCGA-BR-A4PF",10.101416762889,6.0512648127862,5.26696609155243,5.78980316699243,5.95716179748731
"TCGA-BR-A4J6",7.88432784394506,4.79188434106912,6.58060931132444,4.14137097467025,9.68312314928145
"TCGA-BR-8677",6.93754572485868,7.04344228889872,5.02444475795446,5.41065298045875,5.33343349049944
"TCGA-CG-5721",2.97134576846184,5.64474420724349,5.94927369772146,4.78887773732961,8.17761598987343
"TCGA-BR-4370",5.99281480731705,7.13904334266809,6.56901847254783,6.06365421673782,2.54494346937369
"TCGA-VQ-A8E2",2.5117373193031,6.113657346953,7.31974208354367,4.43018598049477,4.29974705550018
"TCGA-D7-A748",7.48749220277542,5.53720934606654,5.09472400407352,4.01100047023951,8.6528664790128
"TCGA-BR-A4J8",9.28057468936074,5.97903711238133,6.01597971921851,5.35711592073839,10.0060225611988
"TCGA-BR-8591",9.98553919648335,5.98044125548746,6.68202224864205,4.9196439355977,6.27879171937537
"TCGA-CG-4475",0.312279487596355,6.14468815501496,6.70047751613428,5.56528874774869,6.90230311997334
"TCGA-VQ-A8E7",5.08296213167722,7.69658044424124,8.47440825870695,5.40646841212006,9.68223559040304
"TCGA-HU-A4GF",5.9947764514945,6.46217877981072,9.39761607692516,5.35849177288584,8.8363970552763
"TCGA-BR-8487",9.47959215220179,5.42576631844217,6.26925656058477,4.06707101513662,8.31256831717845
"TCGA-BR-8592",5.12766624135454,4.58277314434012,5.83397561973921,5.98500636407623,3.2782508908007
"TCGA-BR-6803",9.65661882094432,4.74371564331955,6.21783618082972,4.9948046161537,6.69052160694209
"TCGA-BR-4363",11.8607575305052,5.13452316842241,5.18889845944304,4.78749600554905,3.57735384398035
"TCGA-VQ-A8PX",12.5431124339588,5.80310540265887,6.6387845438514,4.57657156708522,8.6512690310259
"TCGA-VQ-A8DU",7.25815053120664,5.19727552175916,6.50285095413679,3.84733847547478,6.89682767444763
"TCGA-HJ-7597",9.00444907188028,7.584152829621,6.79630775251891,6.06325880271569,3.68973507253003
"TCGA-R5-A7O7",9.92511572656679,5.03883173973301,4.64333795321859,4.79143244889976,7.7512580693798
"TCGA-ZA-A8F6",6.0777537556059,6.22967592146454,7.01807167273087,6.15666923207276,8.33732760584326
"TCGA-BR-8680",-2.32192809488736,7.73040900225507,6.98248119618572,4.75755967819861,1.08234037141366
"TCGA-HU-A4GH",7.72992318185944,6.349546664121,11.5123415030583,4.46408961203517,8.54104194764718
"TCGA-BR-8589",9.17130441445226,5.06781062430794,6.51863018288347,1.67050045672361,8.29552868502758
"TCGA-VQ-A91D",7.82276045892332,4.80239555828163,6.77698137619217,4.400661670504,3.33285500312809
"TCGA-VQ-A922",2.72314457550166,6.47917852323379,8.1609042107075,4.88222383108293,8.13723266847917
